Clinic Name,Type,Governorate
Aswan university dialysis center ,University,Aswan Governorate
Mahalla Al-Kubra General Hospital,Ministry,Gharbia Governorate
Minia university unit,University,Minya Governorate
Nour El Fatah Clinics and Dialysis Unit,Charity,Cairo Governorate
Damanhour,#N/A,#N/A
Ain Shams University dialysis center,University,Cairo Governorate
KUC Dialysis,Private,Alexandria Governorate
Tanta Specialized Kidney Center,Private,Gharbia Governorate
El-Moawasah University hospital,University,Alexandria Governorate
Rashid Kidney Center,#N/A,#N/A
Ibn Al-Nafis Center,Others,Gharbia Governorate
Tanta University Hospitals,University,Gharbia Governorate
Cairo Kidney Center - Downtown,Private,Cairo Governorate
Al Wafaa Specialized Clinics and Kidney Dialysis,Private,Alexandria Governorate
Dialysis unit in Mansoura university ,University,Dakahlia Governorate
Red Crescent Hospital - Bakos,Charity,Alexandria Governorate
Al-Batanoon Charitable Medical Center,Charity,Menofia Governorate
Kafr Hegazi Kidney Disease Center,#N/A,#N/A
Elzahraa University Hospital,#N/A,#N/A
"Egyptian Red Crescent Society Hospital, Sohag Branch",Charity,Sohag Governorate
Zafrani Hospital,#N/A,#N/A
Cairo Specialized Hospital dialysis unit,#N/A,#N/A
 dialysi unit of beni-suef university hospital ,University,Beni Suef
Artificial Kidney Unit at Al-Adhraa and Abu Sefein Hospital,Private,Cairo Governorate
Obour Dialysis unit,#N/A,#N/A
Arafat Dialysis Unit,Charity,Alexandria Governorate
Al-Diouli Center in Mit Badr Halawa,Charity,Gharbia Governorate
Mansourah UNC dialysis unit,#N/A,#N/A
Renal Care Center for Kidney Dialysis,#N/A,#N/A
Itay El Baroud Specialized Center for Kidney Diseases,#N/A,#N/A
Al-Huda Kidney Dialysis Center in Helwan,Charity,Cairo Governorate
suez canal university hospital ,University,Ismailia Governorate
Professor Dr. Mabrouk El-Sheikh Kidney Center in Tanta,Private,Gharbia Governorate
Al Ain Al Garia Hospital,#N/A,#N/A
Cairo Kidney Center - Heliopolis,Private,Cairo Governorate
Kidney Unit at the Islamic Center for Social Development Hospital in Samannoud,#N/A,#N/A
Sohag University Hospital,University,Sohag Governorate
Macca Dialysis Unit - Sharqia ,Charity,Gharbia Governorate
American Mission Hospital Tanta Dialysis Unit,Private,Gharbia Governorate
Electricity Hospital - Cairo,Company,Cairo Governorate
Salam,Private,Dakahlia Governorate
Badr Center for Kidney Diseases and Artificial Kidneys,#N/A,#N/A
Alnour kidney center,#N/A,#N/A
AL KARMA SPECIALIZED HOSPITAL,#N/A,#N/A
Clinics and Dialysis Unit of the Medical  Association  in Tora,Private,Cairo Governorate
"Al-Tawhid Dialysis Center in Mahalla Ziyad, Samannoud, Gharbia",Charity,Gharbia Governorate
masgd El-eman dialysis unit,Others,Cairo Governorate
Kalila specialized hospital ,Private,Al-Sharqia Governorate
clinics and the kidney unit alnoor,Charity,Giza Governorate
Cairo Kidney Center - October,Private,Giza Governorate
"The kidney dialysis unit in Tafahna Al-Azab, affiliated with the (Community Development Association)",Charity,Gharbia Governorate
Mercy,Charity,Gharbia Governorate
Youth Center 2 - Giza,Private,Giza Governorate
qebaa,#N/A,#N/A
Qashti Center,#N/A,#N/A
Hope Center - Minya,Private,Minya Governorate
Al-Mowasat Center,N/A,n/a
Cairo Kidney Center - Maadi,Private,Cairo Governorate
Martyr's Specialized Clinics and Dialysis Unit affiliated with the Life Makers Association,Charity,Giza Governorate
general hospital,Gov Insurance,Gharbia Governorate
Benha university unit,#N/A,#N/A
Al Sulaiman Center,Private,Port Said
Abohamer dialysis unit,Charity,Gharbia Governorate
Dead Habib,#N/A,#N/A
Tanta Kidney Center,N/A,Gharbia Governorate
Ibn Sina Specialized Hospital ,Private,Gharbia Governorate
Ain shams specialized hospital,#N/A,#N/A
Al-Taqwa Center,#N/A,#N/A
Ain Shams University specialized hospital dialysis unit,#N/A,#N/A
ACMC,Private,Cairo Governorate
Othman Bin Affan Center,#N/A,#N/A
Arab Kidney Center,Private,Giza Governorate
Al-Shanbab Dialysis Unit,Charity,Giza Governorate
Dr. Montaser Zeid Center for Kidney and Urinary Tract,#N/A,#N/A
Mowasat Dialysis Unit,University,Alexandria Governorate
"Manara Al-Hikma Center, Abu Ali",#N/A,#N/A
Tanta Educational Hospital,University,Gharbia Governorate
Dr. Suleiman Hospital Dialysis Center,#N/A,#N/A
Osama Ibn Zaid Center in Al-Ma'sara,Charity,Cairo Governorate
Al-Birr Clinics and Specialized Kidney Dialysis Unit,Charity,Behara
Al-Shifa Dialysis Center,Charity,Fayoum
Beni Suef University Hospital,University,Beni Suef
Hhhhhhhh_testtest,#N/A,#N/A
Demirah Dialysis Unit,Charity,Dakahlia Governorate
Ain Shams University dialysis centre ,#N/A,#N/A
Kidney unit of Telbent Caesar,#N/A,#N/A
Martyr Zakaria for Kidney Dialysis,Charity,Giza Governorate
Suez Petroleum Hospital dialysis unit,Company,Suez Governorate
Mohamed A. Shebl,N/A,Giza Governorate
Menoufia university dialysis unit,University,Menoufia
"Kidney dialysis unit, Al-Rahma Specialized Hospital (Cairo Governorate)",#N/A,#N/A
Samoul Unit in El Mahalla El Kubra,Private,Gharbia Governorate
Pulse of Life for Kidney Dialysis,#N/A,#N/A
Elite Hospital Dialysis Unit,#N/A,#N/A
The nour center,N/A,Cairo Governorate
